n,raw.r,std.r,r.cor,r.drop,mean,sd
50,0.6671718402676511,0.6891859541579609,0.6915193625123774,0.6418509926728129,4.58,0.7309485031694875
50,0.6107246747309801,0.6033556944831355,0.604718769304614,0.5821441412267327,4.56,0.7329003050503234
50,0.5853195996818995,0.5865573142826616,0.5838752168325628,0.5560618445951443,4.66,0.7174216873994125
50,0.6617838156359858,0.7019807157064156,0.703699959527607,0.6314918035743071,4.4,0.8571428571428572
50,0.5591092348044053,0.6090202063183316,0.6062134151009252,0.525417494947192,4.48,0.7886956423909863
50,0.63822015196026,0.680423516368755,0.6807628254177346,0.6021496960657159,4.36,0.9638358739104572
50,0.5142741285956681,0.5534729584755037,0.5501246028444923,0.47834300758537224,4.48,0.7886956423909863
50,0.5180332722580444,0.5688381592350635,0.5668646878071748,0.4789567672569114,4.42,0.8592830423898609
50,0.49080591494668124,0.4988512630918665,0.4957477660224881,0.42853916837912565,3.78,1.298193407181295
50,0.5120574672204481,0.498231505443192,0.49702117475127977,0.45401405546004203,4.04,1.244744052045255
50,0.18227186254790897,0.16180194220270255,0.14125884194755706,0.10740944283800954,3.82,1.2727922061357855
50,0.5134821448760579,0.486717463232673,0.48462791678368355,0.45739721198666156,3.82,1.2069526477362527
50,0.7037522914544506,0.7115331595947137,0.7124932643465705,0.6712029327063115,4.42,1.0119691856242765
50,0.4561182191065193,0.47645835675518156,0.46431744254056345,0.4157461893413539,4.18,0.8253632471802451
50,0.6709569129716447,0.7107291701592442,0.7154685126976735,0.638237367993307,4.18,0.9409070742900063
50,0.5541256890009882,0.5778634899639619,0.568431515201122,0.5195775963106404,4.36,0.8020382198638971
50,0.693005283981764,0.7309669710585699,0.7343642060403515,0.6634413082836966,4.08,0.8998866141727784
50,0.6661707064217984,0.6464275150723459,0.6433254268252725,0.6186067243729415,4.26,1.3218725123004527
50,0.6622011444197402,0.6479161146380729,0.6502180698416052,0.6246398359723402,4.42,1.0515294982615968
50,0.41392868196104604,0.3865538126620575,0.3813509380923336,0.33823809423863394,3.88,1.451810973247143
50,0.17845456915467603,0.1318644128267041,0.1192486880628428,0.09484223210456125,2.5,1.417816660091372
50,0.47319620194943535,0.4592145303072408,0.45346372312502586,0.4298152831763905,4.62,0.901019830355513
50,0.5069756453507703,0.48150035323957024,0.47644511154880964,0.44087127418169086,4.04,1.3991250910508908
50,0.5406417331139823,0.5105367242639004,0.5029447742905688,0.48938448950812025,3.9,1.1473127431577865
50,0.6825213070088667,0.6692304809785099,0.6710246920907006,0.646749112012408,4.28,1.050558646334299
50,0.5234307960613338,0.5072253380058253,0.5021756254068428,0.48562974221653793,4.46,0.8381222939355788
50,0.685746209199962,0.6855961974118606,0.6837699112205188,0.6553364915601657,4.46,0.9082389328715619
50,0.32922784971761554,0.316149077879877,0.30797874204561254,0.2783397070161008,4.54,0.9304376850247875
50,0.6558441370610821,0.6520875259958776,0.6555631006748497,0.6240508106220112,4.48,0.8861749953869041
50,0.2825303087254511,0.26423859759334284,0.25171331799406044,0.2149301089593192,3.86,1.195399344084116
50,0.31935240555644834,0.3369456620299645,0.3268765675033079,0.2664975379133719,4.24,0.9595917499283809
50,0.2923342864626334,0.279642120158489,0.2639183654276395,0.22830413463067312,4.26,1.1394592344348153
50,0.11256113629776622,0.09820775587854973,0.08599847106793396,0.026143267771785113,2.32,1.4489968380692533
